date;Usage_kWh;Lagging_Current_Reactive.Power_kVarh;Leading_Current_Reactive_Power_kVarh;CO2(tCO2);Lagging_Current_Power_Factor;Leading_Current_Power_Factor;NSM;WeekStatus;Day_of_week;Load_Type;country;machine_no;product_category;failure_reason
01/01/2018 00:15;3,17;2,95;0,0;0,0;73,21;100,0;900;Weekday;Monday;Light_Load;United Kingdom;3;SET;
01/01/2018 00:30;4,0;4,46;0,0;0,0;66,77;100,0;1800;Weekday;Monday;Light_Load;United Kingdom;1;WHITE;
01/01/2018 00:45;3,24;3,28;0,0;0,0;70,28;100,0;2700;Weekday;Monday;Light_Load;France;3;VINTAGE;
01/01/2018 01:00;3,31;3,56;0,0;0,0;68,09;100,0;3600;Weekday;Monday;Light_Load;United Kingdom;2;CHRISTMAS;
01/01/2018 01:15;3,82;4,5;0,0;0,0;64,72;100,0;4500;Weekday;Monday;Light_Load;France;1;CLASSIC;
01/01/2018 01:30;3,28;3,56;0,0;0,0;67,76;100,0;5400;Weekday;Monday;Light_Load;France;2;RED;
01/01/2018 01:45;3,6;4,14;0,0;0,0;65,62;100,0;6300;Weekday;Monday;Light_Load;United Kingdom;3;TEA;
01/01/2018 02:00;3,6;4,28;0,0;0,0;64,37;100,0;7200;Weekday;Monday;Light_Load;United Kingdom;2;SET;
01/01/2018 02:15;3,28;3,64;0,0;0,0;66,94;100,0;8100;Weekday;Monday;Light_Load;United Kingdom;3;TRAY;
01/01/2018 02:30;3,78;4,72;0,0;0,0;62,51;100,0;9000;Weekday;Monday;Light_Load;United Kingdom;2;other;
01/01/2018 02:45;3,46;4,03;0,0;0,0;65,14;100,0;9900;Weekday;Monday;Light_Load;France;3;HEART;
01/01/2018 03:00;3,24;3,64;0,0;0,0;66,49;100,0;10800;Weekday;Monday;Light_Load;France;3;VINTAGE;
01/01/2018 03:15;3,96;4,97;0,0;0,0;62,32;100,0;11700;Weekday;Monday;Light_Load;United Kingdom;1;METAL;
01/01/2018 03:30;3,31;3,74;0,0;0,0;66,27;100,0;12600;Weekday;Monday;Light_Load;United Kingdom;2;SIGN;
01/01/2018 03:45;3,31;3,85;0,0;0,0;65,19;100,0;13500;Weekday;Monday;Light_Load;United Kingdom;1;DOLL;
01/01/2018 04:00;3,89;5,0;0,0;0,0;61,4;100,0;14400;Weekday;Monday;Light_Load;United Kingdom;3;SET;
01/01/2018 04:15;3,28;3,82;0,0;0,0;65,14;100,0;15300;Weekday;Monday;Light_Load;United Kingdom;1;PANTRY;
01/01/2018 04:30;3,56;4,28;0,0;0,0;63,95;100,0;16200;Weekday;Monday;Light_Load;United Kingdom;2;BAG;
01/01/2018 04:45;3,74;4,54;0,0;0,0;63,58;100,0;17100;Weekday;Monday;Light_Load;United Kingdom;3;SET;
01/01/2018 05:00;3,31;3,6;0,0;0,0;67,68;100,0;18000;Weekday;Monday;Light_Load;United Kingdom;3;PINK;
01/01/2018 05:15;3,56;4,07;0,0;0,0;65,84;100,0;18900;Weekday;Monday;Light_Load;United Kingdom;2;LUNCH;
01/01/2018 05:30;3,56;4,1;0,0;0,0;65,56;100,0;19800;Weekday;Monday;Light_Load;France;1;RED;
01/01/2018 05:45;3,28;3,49;0,0;0,0;68,48;100,0;20700;Weekday;Monday;Light_Load;United Kingdom;3;CAT;
01/01/2018 06:00;3,78;4,32;0,0;0,0;65,85;100,0;21600;Weekday;Monday;Light_Load;United Kingdom;3;other;
01/01/2018 06:15;3,35;3,64;0,0;0,0;67,72;100,0;22500;Weekday;Monday;Light_Load;United Kingdom;1;AND;
01/01/2018 06:30;3,24;3,35;0,0;0,0;69,52;100,0;23400;Weekday;Monday;Light_Load;France;1;WHITE;
01/01/2018 06:45;3,89;4,46;0,0;0,0;65,73;100,0;24300;Weekday;Monday;Light_Load;France;1;BLUE;
01/01/2018 07:00;3,31;3,53;0,0;0,0;68,4;100,0;25200;Weekday;Monday;Light_Load;France;2;HEART;
01/01/2018 07:15;3,28;3,49;0,0;0,0;68,48;100,0;26100;Weekday;Monday;Light_Load;France;1;RED;
01/01/2018 07:30;3,85;4,75;0,0;0,0;62,97;100,0;27000;Weekday;Monday;Light_Load;United Kingdom;3;SET;
01/01/2018 07:45;3,2;3,6;0,0;0,0;66,44;100,0;27900;Weekday;Monday;Light_Load;France;2;ALARM;
01/01/2018 08:00;3,31;3,78;0,0;0,0;65,88;100,0;28800;Weekday;Monday;Light_Load;France;2;GLASS;
01/01/2018 08:15;3,78;4,75;0,0;0,0;62,27;100,0;29700;Weekday;Monday;Light_Load;France;2;FAIRY;
01/01/2018 08:30;3,28;3,74;0,0;0,0;65,94;100,0;30600;Weekday;Monday;Light_Load;France;1;VINTAGE;
01/01/2018 08:45;3,49;4,46;0,18;0,0;61,63;99,87;31500;Weekday;Monday;Light_Load;France;3;VINTAGE;
01/01/2018 09:00;3,89;0,0;15,66;0,0;100,0;24,11;32400;Weekday;Monday;Light_Load;United Kingdom;3;UNION;
01/01/2018 09:15;3,6;0,0;16,96;0,0;100,0;20,76;33300;Weekday;Monday;Light_Load;France;2;HEART;
01/01/2018 09:30;4,03;0,0;21,28;0,0;100,0;18,61;34200;Weekday;Monday;Light_Load;France;3;HEART;
01/01/2018 09:45;3,92;0,0;19,22;0,0;100,0;19,98;35100;Weekday;Monday;Light_Load;France;3;LARGE;
01/01/2018 10:00;3,64;0,0;16,88;0,0;100,0;21,08;36000;Weekday;Monday;Light_Load;France;3;VINTAGE;
01/01/2018 10:15;4,07;0,0;22,32;0,0;100,0;17,94;36900;Weekday;Monday;Light_Load;France;2;TEA;
01/01/2018 10:30;3,71;0,0;18,0;0,0;100,0;20,19;37800;Weekday;Monday;Light_Load;France;2;WHITE;
01/01/2018 10:45;3,6;0,0;16,92;0,0;100,0;20,81;38700;Weekday;Monday;Light_Load;France;1;T-LIGHT;
01/01/2018 11:00;4,21;0,0;23,4;0,0;100,0;17,71;39600;Weekday;Monday;Light_Load;France;3;BOX;
01/01/2018 11:15;3,49;0,0;5,65;0,0;100,0;52,55;40500;Weekday;Monday;Light_Load;France;1;TRADITIONAL;
01/01/2018 11:30;3,46;0,0;4,82;0,0;100,0;58,31;41400;Weekday;Monday;Light_Load;France;1;PINK;
01/01/2018 11:45;4,0;0,0;6,7;0,0;100,0;51,26;42300;Weekday;Monday;Light_Load;France;2;BOX;
01/01/2018 12:00;3,49;0,0;4,57;0,0;100,0;60,69;43200;Weekday;Monday;Light_Load;France;3;RED;
01/01/2018 12:15;3,6;0,0;12,89;0,0;100,0;26,9;44100;Weekday;Monday;Light_Load;United Kingdom;2;WHITE;
01/01/2018 12:30;4,25;0,0;23,15;0,0;100,0;18,06;45000;Weekday;Monday;Light_Load;United Kingdom;3;BLUE;
01/01/2018 12:45;3,67;0,0;16,67;0,0;100,0;21,5;45900;Weekday;Monday;Light_Load;United Kingdom;1;BOTTLE;
01/01/2018 13:00;3,67;0,0;16,63;0,0;100,0;21,55;46800;Weekday;Monday;Light_Load;France;3;HOLDER;
01/01/2018 13:15;4,25;0,0;23,33;0,0;100,0;17,92;47700;Weekday;Monday;Light_Load;France;1;CARD;
01/01/2018 13:30;3,64;0,0;16,74;0,0;100,0;21,25;48600;Weekday;Monday;Light_Load;France;3;HEART;
01/01/2018 13:45;3,67;0,0;16,99;0,0;100,0;21,11;49500;Weekday;Monday;Light_Load;United Kingdom;2;AND;
01/01/2018 14:00;4,28;0,0;23,4;0,0;100,0;17,99;50400;Weekday;Monday;Light_Load;United Kingdom;3;LOVE;
01/01/2018 14:15;3,64;0,0;16,67;0,0;100,0;21,33;51300;Weekday;Monday;Light_Load;France;3;HOME;
01/01/2018 14:30;3,78;0,0;18,25;0,0;100,0;20,28;52200;Weekday;Monday;Light_Load;France;3;PANTRY;
01/01/2018 14:45;4,1;0,0;22,1;0,0;100,0;18,24;53100;Weekday;Monday;Light_Load;France;2;BAG;
01/01/2018 15:00;3,64;0,0;16,7;0,0;100,0;21,3;54000;Weekday;Monday;Light_Load;United Kingdom;1;GREEN;
01/01/2018 15:15;3,92;0,0;19,33;0,0;100,0;19,87;54900;Weekday;Monday;Light_Load;United Kingdom;1;PIECE;
01/01/2018 15:30;4,1;0,0;21,35;0,0;100,0;18,86;55800;Weekday;Monday;Light_Load;France;2;HOME;
01/01/2018 15:45;3,6;0,0;16,81;0,0;100,0;20,94;56700;Weekday;Monday;Light_Load;United Kingdom;3;DESIGN;
01/01/2018 16:00;3,96;0,0;20,45;0,0;100,0;19,01;57600;Weekday;Monday;Light_Load;United Kingdom;1;BOTTLE;
01/01/2018 16:15;4,0;0,0;20,77;0,0;100,0;18,91;58500;Weekday;Monday;Light_Load;United Kingdom;3;BLUE;
01/01/2018 16:30;3,6;0,0;16,81;0,0;100,0;20,94;59400;Weekday;Monday;Light_Load;France;2;DOOR;
01/01/2018 16:45;4,07;0,0;21,64;0,0;100,0;18,48;60300;Weekday;Monday;Light_Load;United Kingdom;1;LUNCH;
01/01/2018 17:00;3,82;0,0;19,19;0,0;100,0;19,52;61200;Weekday;Monday;Light_Load;France;2;CHRISTMAS;
01/01/2018 17:15;3,56;0,0;16,96;0,0;100,0;20,54;62100;Weekday;Monday;Light_Load;United Kingdom;3;CHRISTMAS;
01/01/2018 17:30;4,1;0,0;23,51;0,0;100,0;17,18;63000;Weekday;Monday;Light_Load;United Kingdom;1;UNION;
01/01/2018 17:45;3,6;0,0;17,39;0,0;100,0;20,27;63900;Weekday;Monday;Light_Load;France;1;BAG;
01/01/2018 18:00;3,6;0,0;17,35;0,0;100,0;20,32;64800;Weekday;Monday;Light_Load;France;2;ASSORTED;
01/01/2018 18:15;4,0;0,0;8,96;0,0;100,0;40,77;65700;Weekday;Monday;Light_Load;United Kingdom;3;RED;
01/01/2018 18:30;3,42;0,0;5,47;0,0;100,0;53,01;66600;Weekday;Monday;Light_Load;France;2;HANGER;
01/01/2018 18:45;3,67;0,0;16,24;0,0;100,0;22,04;67500;Weekday;Monday;Light_Load;France;2;RED;
01/01/2018 19:00;4,07;0,0;22,57;0,0;100,0;17,75;68400;Weekday;Monday;Light_Load;France;3;CHRISTMAS;
01/01/2018 19:15;3,53;0,0;17,39;0,0;100,0;19,89;69300;Weekday;Monday;Light_Load;United Kingdom;1;HEART;
01/01/2018 19:30;3,85;0,0;20,74;0,0;100,0;18,25;70200;Weekday;Monday;Light_Load;France;1;WHITE;
01/01/2018 19:45;3,96;0,0;20,88;0,0;100,0;18,63;71100;Weekday;Monday;Light_Load;United Kingdom;3;HEART;
01/01/2018 20:00;3,56;0,0;17,35;0,0;100,0;20,1;72000;Weekday;Monday;Light_Load;United Kingdom;2;DOORMAT;
01/01/2018 20:15;4,03;0,0;22,54;0,0;100,0;17,6;72900;Weekday;Monday;Light_Load;France;2;PINK;
01/01/2018 20:30;3,74;0,0;19,55;0,0;100,0;18,79;73800;Weekday;Monday;Light_Load;France;3;SET;
01/01/2018 20:45;3,56;0,0;17,42;0,0;100,0;20,02;74700;Weekday;Monday;Light_Load;United Kingdom;1;RED;
01/01/2018 21:00;4,21;0,0;24,26;0,0;100,0;17,1;75600;Weekday;Monday;Light_Load;France;3;SPACEBOY;
01/01/2018 21:15;3,56;0,0;17,75;0,0;100,0;19,66;76500;Weekday;Monday;Light_Load;United Kingdom;1;COVER;
01/01/2018 21:30;3,53;0,0;17,42;0,0;100,0;19,86;77400;Weekday;Monday;Light_Load;France;3;HEART;
01/01/2018 21:45;4,25;0,0;25,2;0,0;100,0;16,63;78300;Weekday;Monday;Light_Load;United Kingdom;1;AND;
01/01/2018 22:00;3,53;0,0;17,5;0,0;100,0;19,77;79200;Weekday;Monday;Light_Load;France;1;RED;
01/01/2018 22:15;3,56;1,44;10,08;0,0;92,7;33,3;80100;Weekday;Monday;Light_Load;United Kingdom;1;BOX;
01/01/2018 22:30;3,67;4,21;0,0;0,0;65,71;100,0;81000;Weekday;Monday;Light_Load;United Kingdom;3;MAGIC;
01/01/2018 22:45;3,24;3,35;0,0;0,0;69,52;100,0;81900;Weekday;Monday;Light_Load;France;1;CREAM;
01/01/2018 23:00;3,53;3,74;0,0;0,0;68,64;100,0;82800;Weekday;Monday;Light_Load;France;1;RED;
01/01/2018 23:15;3,53;3,42;0,0;0,0;71,82;100,0;83700;Weekday;Monday;Light_Load;United Kingdom;2;SPACEBOY;
01/01/2018 23:30;3,24;2,95;0,0;0,0;73,94;100,0;84600;Weekday;Monday;Light_Load;United Kingdom;1;VINTAGE;
01/01/2018 23:45;3,67;3,96;0,0;0,0;67,97;100,0;85500;Weekday;Monday;Light_Load;United Kingdom;2;other;
01/01/2018 00:00;3,42;3,46;0,0;0,0;70,3;100,0;0;Weekday;Monday;Light_Load;France;1;BOX;
02/01/2018 00:15;3,2;3,1;0,0;0,0;71,82;100,0;900;Weekday;Tuesday;Light_Load;United Kingdom;1;VINTAGE;
02/01/2018 00:30;3,85;4,61;0,0;0,0;64,1;100,0;1800;Weekday;Tuesday;Light_Load;France;3;PINK;
02/01/2018 00:45;3,28;3,67;0,0;0,0;66,64;100,0;2700;Weekday;Tuesday;Light_Load;United Kingdom;3;RED;
02/01/2018 01:00;3,35;3,6;0,0;0,0;68,12;100,0;3600;Weekday;Tuesday;Light_Load;France;3;SET;
02/01/2018 01:15;3,89;4,72;0,0;0,0;63,6;100,0;4500;Weekday;Tuesday;Light_Load;France;3;METAL;
02/01/2018 01:30;3,28;3,53;0,0;0,0;68,07;100,0;5400;Weekday;Tuesday;Light_Load;United Kingdom;3;YELLOW;
02/01/2018 01:45;3,46;3,96;0,0;0,0;65,8;100,0;6300;Weekday;Tuesday;Light_Load;France;2;DESIGN;
02/01/2018 02:00;3,78;4,82;0,0;0,0;61,71;100,0;7200;Weekday;Tuesday;Light_Load;United Kingdom;2;LARGE;
02/01/2018 02:15;3,31;3,53;0,0;0,0;68,4;100,0;8100;Weekday;Tuesday;Light_Load;France;2;BOX;
02/01/2018 02:30;3,6;4,36;0,0;0,0;63,67;100,0;9000;Weekday;Tuesday;Light_Load;United Kingdom;1;BOTTLE;
02/01/2018 02:45;3,64;4,39;0,0;0,0;63,83;100,0;9900;Weekday;Tuesday;Light_Load;France;2;DOLL;
02/01/2018 03:00;3,28;3,71;0,0;0,0;66,24;100,0;10800;Weekday;Tuesday;Light_Load;France;2;METAL;
02/01/2018 03:15;3,71;4,57;0,0;0,0;63,03;100,0;11700;Weekday;Tuesday;Light_Load;United Kingdom;2;HEART;
02/01/2018 03:30;3,56;4,03;0,0;0,0;66,21;100,0;12600;Weekday;Tuesday;Light_Load;United Kingdom;1;VINTAGE;
02/01/2018 03:45;3,24;3,49;0,0;0,0;68,04;100,0;13500;Weekday;Tuesday;Light_Load;United Kingdom;1;HOT;
02/01/2018 04:00;3,89;4,64;0,0;0,0;64,25;100,0;14400;Weekday;Tuesday;Light_Load;United Kingdom;3;SET;
02/01/2018 04:15;3,28;3,42;0,0;0,0;69,22;100,0;15300;Weekday;Tuesday;Light_Load;United Kingdom;2;FOOD;
02/01/2018 04:30;3,28;3,49;0,0;0,0;68,48;100,0;16200;Weekday;Tuesday;Light_Load;France;3;RETROSPOT;
02/01/2018 04:45;3,96;4,68;0,0;0,0;64,59;100,0;17100;Weekday;Tuesday;Light_Load;France;3;VINTAGE;
02/01/2018 05:00;3,24;3,42;0,0;0,0;68,77;100,0;18000;Weekday;Tuesday;Light_Load;France;3;FELTCRAFT;
02/01/2018 05:15;3,46;3,78;0,0;0,0;67,52;100,0;18900;Weekday;Tuesday;Light_Load;France;1;ASSORTED;
02/01/2018 05:30;3,67;4,07;0,0;0,0;66,97;100,0;19800;Weekday;Tuesday;Light_Load;France;2;VINTAGE;
02/01/2018 05:45;3,24;3,42;0,0;0,0;68,77;100,0;20700;Weekday;Tuesday;Light_Load;France;2;WHITE;
02/01/2018 06:00;3,67;3,96;0,0;0,0;67,97;100,0;21600;Weekday;Tuesday;Light_Load;United Kingdom;1;RED;
02/01/2018 06:15;3,53;3,78;0,0;0,0;68,25;100,0;22500;Weekday;Tuesday;Light_Load;United Kingdom;3;MUG;
02/01/2018 06:30;3,2;3,24;0,0;0,0;70,27;100,0;23400;Weekday;Tuesday;Light_Load;United Kingdom;3;RED;
02/01/2018 06:45;3,78;4,07;0,0;0,0;68,05;100,0;24300;Weekday;Tuesday;Light_Load;United Kingdom;3;TIN;
02/01/2018 07:00;3,35;3,35;0,0;0,0;70,71;100,0;25200;Weekday;Tuesday;Light_Load;United Kingdom;1;DOLL;
02/01/2018 07:15;3,53;3,49;0,0;0,0;71,11;100,0;26100;Weekday;Tuesday;Light_Load;France;1;METAL;
02/01/2018 07:30;6,3;4,57;0,0;0,0;80,95;100,0;27000;Weekday;Tuesday;Light_Load;France;1;AND;
02/01/2018 07:45;6,05;4,79;0,0;0,0;78,4;100,0;27900;Weekday;Tuesday;Light_Load;France;1;SET;
02/01/2018 08:00;6,73;4,54;0,0;0,0;82,9;100,0;28800;Weekday;Tuesday;Light_Load;France;2;SET;
02/01/2018 08:15;29,02;18,83;0,07;0,0;83,89;100,0;29700;Weekday;Tuesday;Light_Load;France;2;RED;
02/01/2018 08:30;46,19;28,66;0,0;0,0;84,97;100,0;30600;Weekday;Tuesday;Light_Load;France;3;WHITE;
02/01/2018 08:45;52,06;35,32;0,0;0,0;82,75;100,0;31500;Weekday;Tuesday;Light_Load;United Kingdom;1;VINTAGE;
02/01/2018 09:00;56,2;12,53;0,11;0,0;97,6;100,0;32400;Weekday;Tuesday;Light_Load;France;1;RETROSPOT;
02/01/2018 09:15;56,84;8,32;0,0;0,0;98,95;100,0;33300;Weekday;Tuesday;Medium_Load;France;2;CHARLOTTE;
02/01/2018 09:30;51,26;4,54;0,94;0,0;99,61;99,98;34200;Weekday;Tuesday;Medium_Load;United Kingdom;1;VINTAGE;
02/01/2018 09:45;48,13;2,34;1,15;0,0;99,88;99,97;35100;Weekday;Tuesday;Medium_Load;United Kingdom;3;TEA;
02/01/2018 10:00;52,81;7,06;0,54;0,0;99,12;99,99;36000;Weekday;Tuesday;Medium_Load;United Kingdom;1;HANGING;
02/01/2018 10:15;54,79;7,52;0,14;0,0;99,07;100,0;36900;Weekday;Tuesday;Maximum_Load;France;2;PIECE;
02/01/2018 10:30;53,21;8,35;0,11;0,0;98,79;100,0;37800;Weekday;Tuesday;Maximum_Load;France;3;ASSORTED;
02/01/2018 10:45;80,21;32,4;0,0;0,0;92,72;100,0;38700;Weekday;Tuesday;Maximum_Load;United Kingdom;2;BAG;
02/01/2018 11:00;77,58;25,49;0,0;0,0;95,0;100,0;39600;Weekday;Tuesday;Maximum_Load;France;2;PINK;
02/01/2018 11:15;128,52;70,85;0,0;0,0;87,57;100,0;40500;Weekday;Tuesday;Maximum_Load;United Kingdom;1;HOT;
02/01/2018 11:30;144,47;78,48;0,0;0,0;87,87;100,0;41400;Weekday;Tuesday;Maximum_Load;France;2;ALARM;
02/01/2018 11:45;90,86;54,29;0,0;0,0;85,84;100,0;42300;Weekday;Tuesday;Maximum_Load;United Kingdom;2;PINK;
02/01/2018 12:00;123,3;66,06;0,0;0,0;88,15;100,0;43200;Weekday;Tuesday;Maximum_Load;United Kingdom;3;BOX;
02/01/2018 12:15;19,22;5,54;18,9;0,0;96,09;71,3;44100;Weekday;Tuesday;Medium_Load;United Kingdom;2;WHITE;
02/01/2018 12:30;8,46;0,0;25,92;0,0;100,0;31,03;45000;Weekday;Tuesday;Medium_Load;France;2;WOOD;
02/01/2018 12:45;8,24;0,0;25,34;0,0;100,0;30,92;45900;Weekday;Tuesday;Medium_Load;France;2;RED;
02/01/2018 13:00;8,03;0,0;25,49;0,0;100,0;30,05;46800;Weekday;Tuesday;Medium_Load;United Kingdom;1;ASSORTED;
02/01/2018 13:15;79,67;27,29;6,52;0,0;94,6;99,67;47700;Weekday;Tuesday;Medium_Load;France;1;BOX;
02/01/2018 13:30;97,85;46,8;0,0;0,0;90,21;100,0;48600;Weekday;Tuesday;Medium_Load;France;3;DOLL;
02/01/2018 13:45;124,45;49,79;0,0;0,0;92,85;100,0;49500;Weekday;Tuesday;Medium_Load;France;1;LUNCH;
02/01/2018 14:00;108,61;43,34;0,0;0,0;92,88;100,0;50400;Weekday;Tuesday;Medium_Load;France;3;TIN;
02/01/2018 14:15;123,12;55,26;0,0;0,0;91,23;100,0;51300;Weekday;Tuesday;Medium_Load;France;2;BAG;
02/01/2018 14:30;129,1;53,5;0,0;0,0;92,38;100,0;52200;Weekday;Tuesday;Medium_Load;France;3;IVORY;
02/01/2018 14:45;82,08;27,58;0,0;0,0;94,79;100,0;53100;Weekday;Tuesday;Medium_Load;United Kingdom;2;SET;
02/01/2018 15:00;143,89;60,91;0,0;0,0;92,09;100,0;54000;Weekday;Tuesday;Medium_Load;France;1;FELT;
02/01/2018 15:15;86,9;34,27;0,0;0,0;93,03;100,0;54900;Weekday;Tuesday;Medium_Load;United Kingdom;2;HEART;
02/01/2018 15:30;141,44;62,57;0,0;0,0;91,45;100,0;55800;Weekday;Tuesday;Medium_Load;France;2;VINTAGE;
02/01/2018 15:45;116,53;52,88;0,0;0,0;91,06;100,0;56700;Weekday;Tuesday;Medium_Load;France;3;ROSE;
02/01/2018 16:00;129,31;61,16;0,0;0,0;90,4;100,0;57600;Weekday;Tuesday;Medium_Load;United Kingdom;3;REGENCY;
02/01/2018 16:15;136,44;56,77;0,0;0,0;92,33;100,0;58500;Weekday;Tuesday;Medium_Load;United Kingdom;1;CAT;
02/01/2018 16:30;85,72;34,85;0,0;0,0;92,64;100,0;59400;Weekday;Tuesday;Medium_Load;France;1;SET;
02/01/2018 16:45;147,46;65,27;0,0;0,0;91,44;100,0;60300;Weekday;Tuesday;Medium_Load;France;3;CABINET;
02/01/2018 17:00;86,94;30,78;0,0;0,0;94,27;100,0;61200;Weekday;Tuesday;Medium_Load;United Kingdom;1;LUNCH;
02/01/2018 17:15;67,25;25,81;0,0;0,0;93,36;100,0;62100;Weekday;Tuesday;Maximum_Load;France;3;HOLDER;
02/01/2018 17:30;115,78;50,04;0,0;0,0;91,79;100,0;63000;Weekday;Tuesday;Maximum_Load;France;1;GLASS;
02/01/2018 17:45;113,11;34,63;0,0;0,0;95,62;100,0;63900;Weekday;Tuesday;Maximum_Load;France;2;ASSORTED;
02/01/2018 18:00;76,75;11,74;1,04;0,0;98,85;99,99;64800;Weekday;Tuesday;Maximum_Load;France;1;AND;
02/01/2018 18:15;41,9;15,23;0,14;0,0;93,98;100,0;65700;Weekday;Tuesday;Maximum_Load;United Kingdom;1;HEART;
02/01/2018 18:30;37,4;19,94;0,0;0,0;88,24;100,0;66600;Weekday;Tuesday;Maximum_Load;France;2;SPACEBOY;
02/01/2018 18:45;40,25;8,82;0,5;0,0;97,68;99,99;67500;Weekday;Tuesday;Maximum_Load;United Kingdom;2;ASSORTED;
02/01/2018 19:00;34,92;1,98;1,58;0,0;99,84;99,9;68400;Weekday;Tuesday;Maximum_Load;France;3;T-LIGHT;
02/01/2018 19:15;41,36;6,44;0,43;0,0;98,81;99,99;69300;Weekday;Tuesday;Maximum_Load;France;2;BLUE;
02/01/2018 19:30;35,96;2,52;1,37;0,0;99,76;99,93;70200;Weekday;Tuesday;Maximum_Load;France;3;METAL;
02/01/2018 19:45;39,42;5,29;0,47;0,0;99,11;99,99;71100;Weekday;Tuesday;Maximum_Load;United Kingdom;1;TIN;
02/01/2018 20:00;38,16;4,68;0,5;0,0;99,26;99,99;72000;Weekday;Tuesday;Maximum_Load;United Kingdom;3;SET;
02/01/2018 20:15;33,23;1,51;3,96;0,0;99,9;99,3;72900;Weekday;Tuesday;Medium_Load;United Kingdom;2;CRAFT;
02/01/2018 20:30;25,88;0,0;12,13;0,0;100,0;90,55;73800;Weekday;Tuesday;Medium_Load;France;2;RED;
02/01/2018 20:45;10,84;0,0;23,22;0,0;100,0;42,3;74700;Weekday;Tuesday;Medium_Load;France;3;HANGER;
02/01/2018 21:00;9,29;0,0;23,51;0,0;100,0;36,75;75600;Weekday;Tuesday;Medium_Load;United Kingdom;1;HEART;
02/01/2018 21:15;6,98;0,0;25,16;0,0;100,0;26,73;76500;Weekday;Tuesday;Medium_Load;United Kingdom;1;WHITE;
