CustomerID;recency;frequency;monetary;cluster
12346.0;346;2;24,96;2
12347.0;23;182;2578,64;1
12348.0;96;31;481,17;0
12349.0;39;73;1265,59;0
12350.0;331;17;302,35;2
12352.0;57;95;1407,46;1
12353.0;225;4;74,11;2
12354.0;253;58;951,72;2
12355.0;235;13;296,84;2
12356.0;43;59;1287,58;0
12357.0;54;131;2578,64;1
12358.0;22;19;410,07;0
12359.0;28;254;2578,64;1
12360.0;73;129;2074,37;1
12361.0;308;10;182,85;2
12362.0;24;274;2578,64;1
12363.0;130;23;458,38;0
12364.0;28;85;1185,89;0
12365.0;312;23;323,84;2
12367.0;25;11;150,45;0
12370.0;72;167;2578,64;1
12371.0;65;63;1358,25;0
12372.0;92;52;989,7;0
12373.0;332;14;292,6;2
12374.0;46;33;580,92;0
12375.0;23;18;327,35;0
12377.0;336;77;1354,31;2
12378.0;150;219;2578,64;1
12379.0;102;41;734,44;0
12380.0;42;105;1970,26;1
12381.0;25;91;1450,99;1
12383.0;205;100;1507,13;2
12384.0;49;30;437,37;0
12386.0;358;10;228,98;2
12388.0;36;100;2100,14;1
12390.0;100;32;492,96;0
12391.0;42;100;448,46;0
12393.0;93;64;1322,77;0
12394.0;84;27;507,58;0
12395.0;36;159;2348,24;1
12397.0;56;126;2030,81;1
12398.0;66;85;1337,37;0
12399.0;140;59;887,88;0
12401.0;324;5;64,65;2
12402.0;344;11;205,01;2
12403.0;70;6;112,53;0
12405.0;169;54;1086,64;0
12406.0;43;108;2351,77;1
12407.0;70;77;1285,84;0
12408.0;53;113;1995,46;1
12409.0;99;114;2578,64;1
12410.0;322;28;518,3;2
12412.0;95;61;1030,41;0
12413.0;87;40;660,06;0
12414.0;238;18;330,79;2
12415.0;45;778;2578,64;1
12417.0;24;198;2578,64;1
12418.0;133;34;528,0;0
12420.0;84;29;517,96;0
12421.0;36;46;652,02;0
12422.0;116;39;682,43;0
12423.0;21;126;1696,13;1
12424.0;183;30;664,1;2
12425.0;99;36;634,7;0
12426.0;215;30;526,21;2
12427.0;32;35;574,89;0
12428.0;46;300;2578,64;1
12429.0;30;97;2113,05;1
12430.0;64;11;193,68;0
12431.0;56;240;2578,64;1
12432.0;63;108;2193,13;1
12433.0;21;420;2578,64;1
12434.0;105;54;763,87;0
12435.0;100;36;1033,82;0
12436.0;120;16;354,69;0
12437.0;22;201;2578,64;1
12438.0;35;98;1833,78;1
12441.0;387;11;162,24;2
12442.0;24;12;150,5;0
12444.0;42;177;2578,64;1
12445.0;43;4;91,12;0
12446.0;78;58;932,51;0
12447.0;264;26;450,55;2
12448.0;65;22;328,87;0
12449.0;43;191;2578,64;1
12450.0;177;8;159,7;2
12451.0;31;355;2578,64;1
12452.0;37;23;347,29;0
12453.0;155;43;703,48;0
12454.0;74;30;433,65;0
12455.0;94;90;1539,7;1
12456.0;65;129;2184,03;1
12457.0;79;68;1279,0;0
12458.0;92;38;704,24;0
12461.0;115;35;579,53;0
12462.0;23;72;928,03;0
12463.0;67;88;1242,11;0
12464.0;31;29;642,16;0
12465.0;28;51;689,59;0
12468.0;164;40;608,27;0
12471.0;23;531;2578,64;1
12472.0;51;391;2578,64;1
12473.0;50;179;2510,75;1
12474.0;38;457;2578,64;1
12475.0;74;36;624,67;0
12476.0;22;264;2578,64;1
12477.0;43;308;2578,64;1
12478.0;24;36;562,57;0
12479.0;24;35;488,26;0
12480.0;49;154;2549,86;1
12481.0;43;218;2578,64;1
12483.0;38;81;1539,13;1
12484.0;53;350;2578,64;1
12488.0;30;55;1035,61;0
12489.0;357;15;284,35;2
12490.0;26;245;2578,64;1
12491.0;59;26;401,81;0
12492.0;84;20;242,69;0
12493.0;186;23;383,84;2
12494.0;30;84;1113,48;0
12497.0;102;14;264,42;0
12498.0;42;23;368,67;0
12500.0;44;65;1148,31;0
12501.0;336;160;2006,17;2
12502.0;116;147;2522,97;1
12503.0;358;1;0,0;2
12504.0;39;15;192,25;0
12505.0;322;1;0,0;2
12506.0;253;23;73,5;2
12507.0;155;23;477,49;0
12508.0;47;69;398,27;0
12509.0;305;7;120,18;2
12510.0;163;33;624,72;0
12512.0;87;34;137,61;0
12513.0;105;36;559,79;0
12514.0;288;51;909,07;2
12515.0;374;16;278,25;2
12516.0;98;26;586,93;0
12517.0;49;286;2368,9;1
12518.0;21;124;1877,07;1
12519.0;84;18;303,91;0
12520.0;100;155;2322,08;1
12521.0;163;38;549,84;0
12522.0;60;12;173,18;0
12523.0;22;110;1616,67;1
12524.0;30;144;2528,63;1
12526.0;21;71;1214,67;0
12527.0;102;18;289,5;0
12528.0;30;95;1564,42;1
12530.0;80;68;1242,22;0
12531.0;35;17;103,22;0
12532.0;51;16;312,07;0
12534.0;151;63;969,77;0
12535.0;112;34;663,93;0
12536.0;28;273;2578,64;1
12538.0;50;21;351,26;0
12539.0;43;274;2578,64;1
12540.0;40;481;2578,64;1
12541.0;50;52;831,57;0
12544.0;50;20;329,71;0
12545.0;96;50;839,36;0
12546.0;67;70;1044,9;0
12547.0;218;8;163,83;2
12548.0;187;5;75,15;2
12550.0;100;57;845,19;0
12551.0;378;10;168,0;2
12552.0;59;20;305,26;0
12553.0;29;196;2578,64;1
12556.0;71;121;589,36;0
12557.0;37;33;928,5;0
12558.0;22;22;197,8;0
12559.0;331;22;371,77;2
12560.0;26;111;1806,5;1
12561.0;323;16;237,17;2
12562.0;29;168;2578,64;1
12564.0;282;21;399,75;2
12565.0;302;10;145,92;2
12566.0;93;20;300,69;0
12567.0;43;463;2578,64;1
12569.0;23;191;2578,64;1
12571.0;60;34;506,26;0
12572.0;29;62;877,28;0
12573.0;248;28;152,05;2
12574.0;336;11;194,35;2
12576.0;56;89;1260,58;0
12577.0;56;148;642,62;0
12578.0;42;120;2231,62;1
12579.0;94;31;398,99;0
12580.0;267;24;395,6;2
12581.0;60;15;185,24;0
12582.0;259;22;361,66;2
12583.0;23;251;2578,64;1
12584.0;24;126;1776,24;1
12585.0;255;97;1516,0;2
12586.0;38;12;191,09;0
12587.0;28;4;86,57;0
12588.0;60;10;159,15;0
12589.0;49;35;554,22;0
12590.0;211;70;1864,95;1
12591.0;338;26;380,81;2
12592.0;113;18;382,76;0
12593.0;129;21;387,41;0
12594.0;58;119;2565,47;1
12596.0;72;27;422,12;0
12597.0;40;214;2578,64;1
12598.0;30;133;2431,28;1
12599.0;50;62;873,53;0
12600.0;49;65;1241,81;0
12601.0;210;29;434,05;2
12602.0;79;12;145,12;0
12603.0;42;3;58,01;0
12604.0;100;16;242,25;0
12605.0;386;3;0,0;2
12607.0;79;202;1541,59;1
12609.0;99;60;995,77;0
12610.0;43;111;1691,83;1
12611.0;73;65;1036,63;0
12612.0;78;21;469,27;0
12613.0;52;163;2578,64;1
12614.0;298;20;305,6;2
12615.0;23;105;1846,81;1
12616.0;106;36;563,15;0
12617.0;50;42;351,53;0
12618.0;42;11;144,42;0
12619.0;37;95;1466,26;1
12620.0;35;92;1243,04;0
